lei,lender_name,apps_in_model,observed_denials,expected_denials,excess_denials,observed_expected_ratio,ratio_ci95_low,ratio_ci95_high,standardized_residual_z,profile_coverage_pct,flag
7H6GLXDRUGQFU57RNE97,,2677,1174,626.6,547.4,1.874,1.768,1.984,24.99,88.2,above_expectation_ci_excludes_1
549300H3IZO24NSOO931,"Lennar Mortgage, LLC",24451,5609,4203.9,1405.1,1.334,1.3,1.37,23.81,95.8,above_expectation_ci_excludes_1
549300OPCWU6E72WUT29,,7437,3161,2299.6,861.4,1.375,1.327,1.423,21.61,91.4,above_expectation_ci_excludes_1
549300RA3E0BUFO7YZ21,,816,439,187.0,252.0,2.348,2.133,2.578,20.99,93.0,above_expectation_ci_excludes_1
B4TYDEB6GKMZO031MB27,,666,337,136.1,200.9,2.476,2.219,2.755,19.31,87.3,above_expectation_ci_excludes_1
5493001SXWZ4OFP8Z903,"DHI Mortgage Company, LTD.",38427,8081,6722.4,1358.6,1.202,1.176,1.229,18.24,95.2,above_expectation_ci_excludes_1
KB1H1DSPRFMYMCUFXT09,,1996,946,583.8,362.2,1.62,1.519,1.727,17.82,79.0,above_expectation_ci_excludes_1
5493004WMLN60ZJ2ON46,,3854,1070,707.2,362.8,1.513,1.424,1.606,15.1,96.2,above_expectation_ci_excludes_1
EQTWLK1G7ODGC2MGLV11,,2133,847,566.9,280.1,1.494,1.395,1.598,13.73,86.1,above_expectation_ci_excludes_1
5493001WHVQBGRSWEU75,,1545,491,284.5,206.5,1.726,1.577,1.885,13.55,73.7,above_expectation_ci_excludes_1
549300PJ2WT35S77Q208,,817,289,145.1,143.9,1.992,1.769,2.235,13.17,93.7,above_expectation_ci_excludes_1
HUX2X73FUCYHUVH1BK78,,667,312,180.3,131.7,1.73,1.544,1.934,11.48,88.1,above_expectation_ci_excludes_1
549300UI36AJZ0WZ4U93,"TAYLOR MORRISON HOME FUNDING, INC.",2176,591,395.3,195.7,1.495,1.377,1.621,10.88,96.9,above_expectation_ci_excludes_1
549300NFPC3Y4W3Y7R87,,1928,472,317.9,154.1,1.485,1.354,1.625,9.46,95.8,above_expectation_ci_excludes_1
AD6GFRVSDT01YPT1CS68,,722,266,166.7,99.3,1.596,1.41,1.799,8.77,84.1,above_expectation_ci_excludes_1
JJKC32MCHWDI71265Z06,,938,319,207.6,111.4,1.537,1.373,1.715,8.76,88.4,above_expectation_ci_excludes_1
549300WWJ28EP3GZG107,,785,240,145.5,94.5,1.649,1.447,1.872,8.68,83.8,above_expectation_ci_excludes_1
WWB2V0FCW3A0EE3ZJN75,M&T BANK,1791,623,463.3,159.7,1.345,1.241,1.455,8.62,82.1,above_expectation_ci_excludes_1
2WHM8VNJH63UN14OL754,Huntington National Bank,2495,681,517.9,163.1,1.315,1.218,1.418,8.05,90.2,above_expectation_ci_excludes_1
RVDPPPGHCGZ40J4VQ731,PENNYMAC LOAN SERVICES LLC,19837,5402,4915.1,486.9,1.099,1.07,1.129,8.01,61.0,above_expectation_ci_excludes_1
549300E2UX99HKDBR481,"NEW AMERICAN FUNDING, LLC.",22447,6011,5504.4,506.6,1.092,1.065,1.12,7.86,89.0,above_expectation_ci_excludes_1
254900LTD432L5CHIZ48,,547,143,82.0,61.0,1.744,1.47,2.054,7.31,90.7,above_expectation_ci_excludes_1
254900M2C4Q6DATP2889,,3413,1292,1101.7,190.3,1.173,1.11,1.238,6.97,95.0,above_expectation_ci_excludes_1
5493004N9PMBSLEZOF16,,1389,316,221.4,94.6,1.427,1.274,1.594,6.93,95.8,above_expectation_ci_excludes_1
QFROUN1UWUYU0DVIWD51,,1228,388,287.4,100.6,1.35,1.219,1.491,6.78,86.0,above_expectation_ci_excludes_1
6BYL5QZYBDK8S7L73M02,,2272,525,402.0,123.0,1.306,1.197,1.423,6.76,87.5,above_expectation_ci_excludes_1
DRMSV1Q0EKMEXLAU1P80,,723,235,173.7,61.3,1.353,1.185,1.537,5.34,88.8,above_expectation_ci_excludes_1
